
	Du är en hjälpsam assistent vars uppgift är att skriva en Wikipedia-artikel om Europeiska spelen 2023, skriv artikeln på svenska.
	Du får ENDAST använda nedanstående egenskapsvärdepar som din informationskälla.
	Du behöver inte förklara varför du inte kan skapa en fullständig wikipedia artikel eller om du inte vet så får du gissa så bra du kan. 
 	Jag vill ENDAST ha Wikipedia artikeln, jag behöver ingen information om hur du har skapat artikeln. 
  	Lägg inte till några nya källor. Skriv artikeln så likt Wikipedia som möjligt. Skriv artikeln så utförligt som möjligt.
	Svara på svenska.  

	type: Thing
label: 2023 European Games
comment: The 3rd European Games (Polish: III Igrzyska Europejskie, Igrzyska Europejskie 2023), informally known as Kraków-Małopolska 2023, is a scheduled international sporting event to be held in Kraków and Małopolska, Poland in 2023. All Olympic sports held at the 2023 European Games will provide qualification opportunities for the 2024 Summer Olympics in Paris, France.
differentFrom: 2022_European_Championships
differentFrom: European_Championships_(multi-sport_event)
homepage: http://ie2023.pl/en/
name: III European Games
depiction: Widok_bramka.jpg
depiction: Basketball_pictogram.svg
depiction: Kickboxing_pictogram.svg
depiction: Canoeing_pictogram.svg
depiction: Fencing_pictogram.svg
depiction: Archery_pictogram.svg
depiction: Athletics_pictogram.svg
depiction: Badminton_pictogram.svg
depiction: Boxing_pictogram.svg
depiction: Cycling_pictogram.svg
depiction: Judo_pictogram.svg
depiction: Karate_pictogram.svg
depiction: Modern_pentathlon_pictogram.svg
depiction: Shooting_pictogram.svg
depiction: Ski_jumping_pictogram.svg
depiction: Sport_climbing_pictogram.svg
depiction: Sukiennice_and_Main_Market_Square_Krakow_Poland.jpg
depiction: Swimming_pictogram.svg
depiction: Table_tennis_pictogram.svg
depiction: Taekwondo_pictogram.svg
depiction: Triathlon_pictogram.svg
depiction: Kraków_239a.jpg
depiction: Kraków_Arena_z_lotu_ptaa.jpg
depiction: Stadion_przed_meczem_z_APOELEM.jpg
depiction: Breakdancing_pictogram.svg
depiction: Beach_handball_pictogram.svg
depiction: Beach_soccer_pictogram.svg
depiction: Zakopane_Wielka_Krokiew_dron_(1).jpg
